datetime,currency,impact,event,actual,forecast,previous
2021-05-05 14:00:00+00:00,USD,3,ISM Services PMI,62.7,64.3,63.7
2021-05-05 14:00:00+00:00,USD,2,ISM Services Prices Paid,76.8,73.3,74.0
2021-05-05 15:00:00+00:00,USD,2,Fed's Rosengren speech,,,
2021-05-05 16:00:00+00:00,USD,2,Fed's Mester speech,,,
2021-05-05 22:30:00+00:00,CAD,3,BoC's Governor Macklem speech,,,
2021-05-05 22:45:00+00:00,NZD,2,Building Permits s.a. (MoM),17.9,,-18.2
2021-05-05 23:50:00+00:00,JPY,3,BoJ Monetary Policy Meeting Minutes,,,
2021-05-06 06:00:00+00:00,EUR,2,Factory Orders s.a. (MoM),3.0,1.7,1.2
2021-05-06 08:00:00+00:00,EUR,2,Economic Bulletin,,,
2021-05-06 08:30:00+00:00,GBP,2,S&P Global Composite PMI,,,
2021-05-06 09:00:00+00:00,AUD,2,RBA's Debelle speech,,,
2021-05-06 09:00:00+00:00,EUR,2,Retail Sales (MoM),2.7,1.5,3.0
2021-05-06 09:00:00+00:00,EUR,3,Retail Sales (YoY),12.0,9.6,-2.9
2021-05-06 10:30:00+00:00,EUR,2,ECB's De Guindos speech,,,
2021-05-06 11:00:00+00:00,GBP,3,BoE Asset Purchase Facility,895.0,,895.0
2021-05-06 11:00:00+00:00,GBP,3,BoE Interest Rate Decision,0.1,0.1,0.1
2021-05-06 11:00:00+00:00,GBP,3,BoE Minutes,,,
2021-05-06 11:00:00+00:00,GBP,3,BoE Monetary Policy Report,,,
2021-05-06 11:00:00+00:00,GBP,3,BoE Monetary Policy Summary,,,
2021-05-06 11:00:00+00:00,GBP,3,BoE MPC Vote Rate Cut,0.0,0.0,0.0
2021-05-06 11:00:00+00:00,GBP,3,BoE MPC Vote Rate Hike,0.0,0.0,0.0
2021-05-06 11:00:00+00:00,GBP,3,BoE MPC Vote Rate Unchanged,9.0,9.0,9.0
2021-05-06 11:25:00+00:00,EUR,3,ECB's President Lagarde speech,,,
2021-05-06 12:00:00+00:00,GBP,3,BoE's Governor Bailey speech,,,
2021-05-06 12:30:00+00:00,USD,2,Initial Jobless Claims,498.0,540.0,553.0
2021-05-06 12:30:00+00:00,USD,2,Initial Jobless Claims 4-week average,560.0,,611.75
2021-05-06 12:30:00+00:00,USD,2,Nonfarm Productivity,5.4,4.3,-4.2
2021-05-06 12:30:00+00:00,USD,2,Unit Labor Costs,-0.3,-1.0,6.0
2021-05-06 13:00:00+00:00,USD,2,Fed's Williams speech,,,
