datetime,currency,impact,event,actual,forecast,previous
2011-01-19 09:30:00+00:00,GBP,3,Claimant Count Change,-4.1,-1.40,"vised From -1.2K>-3.2                             """
2011-01-19 09:30:00+00:00,GBP,2,Unemployment Rate,7.9,7.90,7.9
2011-01-19 13:30:00+00:00,USD,3,Building Permits,0.64,0.56,"vised From 0.530M>0.540                           """
2011-01-19 13:30:00+00:00,USD,2,Housing Starts,0.53,0.55,"vised From 0.560M>0.550                           """
2011-01-19 13:30:00+00:00,CAD,2,Manufacturing Sales,-0.8,0.60,vised From 1.70
2011-01-19 15:30:00+00:00,CAD,3,BoC Monetary Policy Report,,,
2011-01-19 21:45:00+00:00,NZD,3,CPI,2.3,2.30,1.1
2011-01-20 02:00:00+00:00,CNY,2,CPI,4.6,4.70,5.1
2011-01-20 02:00:00+00:00,CNY,2,Fixed Asset Investment,24.5,24.00,24.9
2011-01-20 02:00:00+00:00,CNY,3,GDP,9.8,9.50,9.6
2011-01-20 02:00:00+00:00,CNY,3,Industrial Production,13.5,13.30,13.3
2011-01-20 02:00:00+00:00,CNY,2,PPI,5.9,5.80,6.1
2011-01-20 07:00:00+00:00,EUR,2,German PPI,0.7,0.50,0.2
2011-01-20 09:00:00+00:00,EUR,2,ECB Economic Bulletin,,,
2011-01-20 11:00:00+00:00,GBP,2,CBI Industrial Trends Orders,-16,-1.00,-3
2011-01-20 13:30:00+00:00,USD,2,Initial Jobless Claims,404,425.00,"vised From 445K>441                               """
2011-01-20 13:30:00+00:00,CAD,2,Leading Indicators,0.5,0.40,vised From 0.3
2011-01-20 13:30:00+00:00,CAD,2,Wholesale Sales,1.2,0.40,vised From 0.0
2011-01-20 15:00:00+00:00,USD,3,Existing Home Sales,5.28,4.80,"vised From 4.68M>4.70                             """
2011-01-20 15:00:00+00:00,USD,3,Philadelphia Fed Manufacturing Index,19.3,21.00,"vised From 24.3>20.8                              """
2011-01-20 16:00:00+00:00,USD,3,Crude Oil Inventories,2.6,-1.10,-2.2
